QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,QFCD3MCX,QFCD_MCX,FONPURCH,INTAWAY,INTAWAY_,INTAWYX,INTAWYX_,FONCARDX,FONC_RDX
20171,03392774,40,0,1,,A,,,A,,A,,A
20171,03392794,17,0,1,,A,,,A,,A,,A
20171,03392804,27,0,1,,A,,,A,,A,,A
20171,03392834,24,0,1,,A,,,A,,A,,A
20171,03392874,46,0,1,,A,,,A,,A,,A
20171,03392894,72,0,1,,A,,,A,,A,,A
20171,03392924,26,0,1,,A,,,A,,A,,A
20171,03392954,51,0,1,,A,,,A,,A,,A
20171,03392964,22,0,1,,A,,,A,,A,,A
20171,03392994,37,0,1,,A,,,A,,A,,A
20171,03393004,22,0,1,,A,,,A,,A,,A
20171,03393014,76,0,1,,A,,,A,,A,,A
20171,03393024,33,0,1,,A,,,A,,A,,A
20171,03393034,44,0,1,,A,,,A,,A,,A
20171,03393044,18,0,1,,A,,,A,,A,,A
20171,03393104,46,0,1,,A,,,A,,A,,A
20171,03393134,13,0,1,,A,,,A,,A,,A
20171,03393154,55,0,1,,A,,,A,,A,,A
20171,03393174,11,0,1,,A,,,A,,A,,A
20171,03393184,66,0,1,,A,,,A,,A,,A
20171,03393204,10,0,1,,A,,,A,,A,,A
20171,03393244,26,0,1,,A,,,A,,A,,A
20171,03393254,76,0,1,,A,,,A,,A,,A
20171,03393274,27,0,1,,A,,,A,,A,,A
20171,03393284,25,0,1,,A,,,A,,A,,A
20171,03393294,30,0,1,,A,,,A,,A,,A
20171,03393314,41,0,1,,A,,,A,,A,,A
20171,03393324,29,0,1,,A,,,A,,A,,A
20171,03393344,18,0,1,,A,,,A,,A,,A
20171,03393364,17,0,1,,A,,,A,,A,,A
20171,03393444,36,0,1,,A,,,A,,A,,A
20171,03393454,70,0,1,,A,,,A,,A,,A
20171,03393474,30,0,1,,A,,,A,,A,,A
20171,03393494,33,0,1,,A,,,A,,A,,A
20171,03393504,37,0,1,,A,,,A,,A,,A
20171,03393534,59,0,1,,A,,,A,,A,,A
