QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MISCCODE,MISC_ODE,MISCMO,MISCMO_,MISCGFTC,MISC_FTC,MISCEXPX,MISC_XPX,MISCDE1,MISCDE1_,MISCDE2,MISCDE2_,MISCDE3,MISCDE3_,MISCDE4,MISCDE4_,MISCDE5,MISCDE5_,MISCDE6,MISCDE6_,MISCDE7,MISCDE7_,MISCDE8,MISCDE8_,MISCDE9,MISCDE9_,MISPURCH
20181,03649864,48,0,1,140,D,11,D,2,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649864,49,0,1,340,D,11,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649864,50,0,1,340,D,12,D,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649864,51,0,1,240,D,13,D,1,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649864,52,0,1,330,D,12,D,2,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649884,5,0,1,390,D,13,D,1,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649934,16,0,1,140,D,01,D,2,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649954,31,0,1,390,D,13,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649954,32,0,1,240,D,11,D,1,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649954,33,0,1,260,D,01,D,1,D,463,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649954,34,0,1,240,D,01,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649964,16,0,1,330,D,12,D,2,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649964,17,0,1,240,D,13,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650014,17,0,1,160,D,01,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650054,13,0,1,390,D,13,D,1,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650114,37,0,1,390,D,13,D,1,D,24,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650134,19,0,1,170,D,13,D,1,D,625,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650134,20,0,1,140,D,01,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650134,21,0,1,240,D,12,D,1,D,320,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650184,36,0,1,380,D,11,D,1,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650194,21,0,1,210,D,12,D,1,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650194,22,0,1,230,D,12,D,1,D,5700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650194,23,0,1,240,D,13,D,1,D,425,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650194,24,0,1,260,D,12,D,1,D,195,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650194,25,0,1,250,D,01,D,1,D,99,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650244,19,0,1,150,D,13,D,1,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650244,20,0,1,340,D,12,D,1,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650264,20,0,1,180,D,13,D,1,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650264,21,0,1,140,D,12,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650384,8,0,1,250,D,01,D,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650394,31,0,1,410,D,12,D,1,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650394,32,0,1,130,D,12,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650394,33,0,2,140,D,11,D,1,D,53,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650394,34,0,2,420,D,11,D,1,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650464,30,0,1,380,D,13,D,1,D,64,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650464,31,0,1,390,D,01,D,1,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650464,32,0,2,340,D,11,D,2,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650524,9,0,1,260,D,12,D,1,D,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650544,14,0,1,180,D,13,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650564,26,0,1,140,D,12,D,1,D,11,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650564,27,0,1,390,D,12,D,1,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650604,12,0,2,360,D,11,D,1,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650614,37,0,1,170,D,12,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650614,38,0,1,370,D,13,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650614,39,0,1,330,D,12,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650614,40,0,1,460,D,01,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650614,41,0,1,265,D,01,D,1,D,,H,240,D,260,D,,A,,A,,A,,A,,A,,A,,A,
20181,03650614,41,1,1,240,D,01,D,1,D,12,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650614,41,2,1,260,D,01,D,1,D,48,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650744,38,0,1,170,D,11,D,1,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650744,39,0,1,330,D,11,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650744,40,0,1,330,D,12,D,2,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650744,41,0,1,330,D,11,D,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650744,42,0,1,260,D,12,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650744,43,0,1,240,D,12,D,1,D,43,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650754,22,0,1,390,D,01,D,1,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650754,23,0,1,330,D,01,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650794,12,0,1,170,D,11,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650794,13,0,1,240,D,01,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650834,14,0,1,160,D,01,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650844,11,0,1,330,D,12,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650854,8,0,1,180,D,13,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650914,16,0,1,380,D,01,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650914,17,0,1,225,D,13,D,1,D,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650914,18,0,1,240,D,12,D,1,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650914,19,0,1,260,D,01,D,1,D,175,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650934,12,0,1,170,D,13,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
