QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPMOA,VOPMOA_,VOPEXPX,VOPEXPX_,VOPRMBXA,VOPR_BXA,QVOPEQPX,QVOP_QPX,VOPSERVY,VOPS_RVY,VOPLABOR,VOPL_BOR,VOPREIMB,VOPR_IMB,VPSRVY1,VPSRVY1_,VPSRVY2,VPSRVY2_,VPSRVY3,VPSRVY3_,VPSRVY4,VPSRVY4_,VPSRVY5,VPSRVY5_,VPSRVY6,VPSRVY6_,VPSRVY7,VPSRVY7_,VPSRVY8,VPSRVY8_,VPSRVY9,VPSRVY9_
20173,03695881,54,0,1,04,D,13,D,,A,13,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695881,55,0,1,05,D,13,D,,A,13,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695881,56,0,1,06,D,13,D,,A,13,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03696001,38,0,1,06,D,150,D,,A,150,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03696011,53,0,1,04,D,42,D,,A,42,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03696011,54,0,1,04,D,77,D,,A,77,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03696041,26,0,1,04,D,89,D,,A,89,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03696071,25,0,1,04,D,100,D,,A,100,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03696111,30,0,1,04,D,54,D,,A,54,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03696111,31,0,1,06,D,271,D,,A,271,D,320,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03696111,32,0,1,04,D,54,D,,A,54,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03696111,33,0,1,04,D,61,D,,A,61,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03696111,34,0,1,05,D,61,D,,A,61,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03696111,35,0,1,06,D,61,D,,A,61,D,367,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03696171,30,0,1,05,D,50,D,,A,50,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03696191,25,0,1,06,D,22,D,,A,22,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
