QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CONTCODE,CONT_ODE,CONTMO,CONTMO_,CONTEXPX,CONT_XPX
20171,03392614,5,0,1,100,D,13,D,1400,D
20171,03392614,6,0,1,160,D,13,D,100,D
20171,03392614,7,0,1,160,D,12,D,175,D
20171,03392634,1,0,1,170,D,13,D,800,D
20171,03392634,2,0,1,170,D,13,D,800,D
20171,03392694,1,0,1,150,D,13,D,1000,D
20171,03392774,9,0,1,170,D,11,D,100,D
20171,03392774,10,0,1,170,D,12,D,1150,D
20171,03392774,11,0,1,150,D,13,D,60,D
20171,03392804,6,0,1,150,D,13,D,100,D
20171,03392834,3,0,1,160,D,13,D,100,D
20171,03392874,7,0,1,160,D,13,D,50,D
20171,03392894,12,0,1,170,D,12,D,300,D
20171,03392894,13,0,1,160,D,11,D,10,D
20171,03392894,14,0,1,150,D,12,D,20,D
20171,03392924,2,0,1,110,D,13,D,300,D
20171,03392954,5,0,1,170,D,12,D,1000,D
20171,03392954,6,0,1,150,D,12,D,250,D
20171,03392964,1,0,1,170,D,12,D,50,D
20171,03392994,12,0,1,130,D,11,D,200,D
20171,03393004,1,0,1,150,D,13,D,10,D
20171,03393014,20,0,1,170,D,12,D,50,D
20171,03393014,21,0,1,160,D,12,D,10,D
20171,03393024,3,0,1,160,D,13,D,5,D
20171,03393034,4,0,1,150,D,13,D,300,D
20171,03393104,8,0,1,160,D,12,D,100,D
20171,03393134,3,0,1,170,D,12,D,150,D
20171,03393154,5,0,1,160,D,10,D,150,D
20171,03393184,7,0,1,170,D,12,D,700,D
20171,03393184,8,0,1,160,D,12,D,1565,D
20171,03393244,4,0,1,160,D,12,D,300,D
20171,03393254,10,0,1,170,D,12,D,170,D
20171,03393274,6,0,1,170,D,12,D,300,D
20171,03393274,7,0,1,160,D,12,D,50,D
20171,03393294,3,0,1,170,D,12,D,350,D
20171,03393294,4,0,1,160,D,11,D,10,D
20171,03393364,2,0,1,150,D,13,D,50,D
20171,03393454,2,0,1,170,D,11,D,275,D
