QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MEDPCARY,MEDP_ARY,MEDPGFTC,MEDP_FTC,MEDPMTMO,MEDP_TMO,MEDPMTX,MEDPMTX_,MEDPCY1,MEDPCY1_,MEDPCY2,MEDPCY2_,MEDPCY3,MEDPCY3_,MEDPCY4,MEDPCY4_,MEDPCY5,MEDPCY5_,MEDPCY6,MEDPCY6_,MEDPCY7,MEDPCY7_,MEDPCY8,MEDPCY8_,MEDPCY9,MEDPCY9_,MEDPPRNT,MEDP_RNT,MEDPNOUT,MEDP_OUT
20171,03388314,32,0,1,620,D,1,D,10,D,131,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388344,48,0,1,620,D,1,D,12,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388344,49,0,1,620,D,1,D,13,D,21,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388344,50,0,2,110,D,1,D,10,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388344,51,0,2,120,D,1,D,10,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388454,14,0,1,420,D,1,D,11,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388454,15,0,1,620,D,1,D,10,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388474,17,0,1,420,D,1,D,12,D,199,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388474,18,0,1,620,D,1,D,12,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388484,9,0,C,655,D,1,D,10,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,A
20171,03388484,49,0,1,200,D,1,D,12,D,1500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388544,10,0,1,200,D,1,D,11,D,225,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388554,20,0,1,110,D,1,D,12,D,58,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388554,21,0,1,620,D,1,D,13,D,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388574,14,0,1,620,D,1,D,13,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388584,13,0,1,420,D,1,D,12,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388584,14,0,1,620,D,1,D,13,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388604,10,0,1,620,D,1,D,13,D,104,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
