QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPREGY,VOPREGY_,VOPMO_C,VOPMO_C_,VOPREGX,VOPREGX_,VOPRGY1,VOPRGY1_,VOPRGY2,VOPRGY2_,VOPRGY3,VOPRGY3_,VOPRGY4,VOPRGY4_
20174,03574554,46,0,1,420,D,09,D,31,D,,A,,A,,A,,A
20174,03574654,51,0,1,420,D,09,D,60,D,,A,,A,,A,,A
20174,03574654,52,0,2,420,D,07,D,89,D,,A,,A,,A,,A
20174,03574664,27,0,1,430,D,07,D,,H,415,D,410,D,,A,,A
20174,03574664,27,1,1,420,D,07,D,53,E,,A,,A,,A,,A
20174,03574664,27,2,1,410,D,07,D,17,E,,A,,A,,A,,A
20174,03574754,57,0,1,420,D,09,D,187,D,,A,,A,,A,,A
20174,03574904,33,0,1,400,D,09,D,35,F,,A,,A,,A,,A
20174,03574904,34,0,1,420,D,07,D,250,D,,A,,A,,A,,A
20174,03574904,35,0,1,420,D,09,D,180,D,,A,,A,,A,,A
20174,03575034,33,0,1,430,D,08,D,,H,415,D,425,D,405,D,410,D
20174,03575034,33,1,1,420,D,08,D,28,E,,A,,A,,A,,A
20174,03575034,33,2,1,420,D,08,D,60,E,,A,,A,,A,,A
20174,03575034,33,3,1,405,D,08,D,245,E,,A,,A,,A,,A
20174,03575034,33,4,1,410,D,08,D,2,E,,A,,A,,A,,A
20174,03575034,34,0,1,430,D,08,D,,H,415,D,425,D,405,D,410,D
20174,03575034,34,1,1,420,D,08,D,18,E,,A,,A,,A,,A
20174,03575034,34,2,1,420,D,08,D,42,E,,A,,A,,A,,A
20174,03575034,34,3,1,405,D,08,D,172,E,,A,,A,,A,,A
20174,03575034,34,4,1,410,D,08,D,3,E,,A,,A,,A,,A
20174,03575084,74,0,1,420,D,08,D,160,D,,A,,A,,A,,A
20174,03575094,34,0,1,420,D,09,D,80,D,,A,,A,,A,,A
20174,03575264,31,0,1,410,D,07,D,30,D,,A,,A,,A,,A
20174,03575264,32,0,1,405,D,08,D,84,D,,A,,A,,A,,A
20174,03575264,33,0,1,420,D,08,D,36,D,,A,,A,,A,,A
20174,03575364,56,0,1,400,D,09,D,25,D,,A,,A,,A,,A
20174,03575364,57,0,2,400,D,07,D,27,D,,A,,A,,A,,A
20174,03575374,46,0,1,400,D,09,D,50,D,,A,,A,,A,,A
20174,03575614,21,0,1,420,D,07,D,6,D,,A,,A,,A,,A
20174,03575744,6,0,1,400,D,08,D,28,D,,A,,A,,A,,A
20174,03575864,21,0,2,400,D,07,D,33,D,,A,,A,,A,,A
20174,03575914,40,0,1,400,D,09,D,38,D,,A,,A,,A,,A
20174,03575914,41,0,1,400,D,09,D,38,D,,A,,A,,A,,A
20174,03575984,51,0,1,420,D,09,D,70,D,,A,,A,,A,,A
20174,03576024,51,0,1,410,D,09,D,57,D,,A,,A,,A,,A
20174,03576034,42,0,1,405,D,08,D,212,D,,A,,A,,A,,A
20174,03576094,32,0,1,420,D,07,D,100,D,,A,,A,,A,,A
20174,03576144,54,0,1,420,D,09,D,350,D,,A,,A,,A,,A
20174,03576164,48,0,1,420,D,08,D,85,D,,A,,A,,A,,A
20174,03576304,27,0,1,420,D,09,D,36,D,,A,,A,,A,,A
20174,03576404,31,0,1,400,D,09,D,33,D,,A,,A,,A,,A
20174,03576424,35,0,1,430,D,09,D,,H,410,D,415,D,,A,,A
20174,03576424,35,1,1,410,D,09,D,23,E,,A,,A,,A,,A
20174,03576424,35,2,1,420,D,09,D,75,E,,A,,A,,A,,A
20174,03576434,51,0,1,420,D,09,D,66,D,,A,,A,,A,,A
20174,03576464,41,0,1,420,D,07,D,52,D,,A,,A,,A,,A
20174,03576704,34,0,1,420,D,08,D,75,D,,A,,A,,A,,A
20174,03576724,25,0,1,420,D,08,D,47,D,,A,,A,,A,,A
20174,03576774,79,0,1,420,D,09,D,48,D,,A,,A,,A,,A
20174,03576774,80,0,1,420,D,08,D,48,D,,A,,A,,A,,A
20174,03576774,81,0,2,420,D,07,D,45,D,,A,,A,,A,,A
20174,03576794,30,0,1,410,D,08,D,35,D,,A,,A,,A,,A
20174,03576794,31,0,1,420,D,08,D,100,D,,A,,A,,A,,A
20174,03576864,32,0,1,400,D,07,D,25,D,,A,,A,,A,,A
20174,03576864,33,0,1,420,D,07,D,110,D,,A,,A,,A,,A
20174,03576964,30,0,1,420,D,09,D,191,D,,A,,A,,A,,A
20174,03576974,22,0,1,400,D,08,D,50,D,,A,,A,,A,,A
20174,03576974,23,0,1,410,D,09,D,35,D,,A,,A,,A,,A
20174,03577014,20,0,1,410,D,09,D,7,D,,A,,A,,A,,A
20174,03577014,21,0,1,420,D,09,D,75,D,,A,,A,,A,,A
20174,03577034,34,0,2,420,D,07,D,48,D,,A,,A,,A,,A
20174,03577044,71,0,1,420,D,07,D,250,D,,A,,A,,A,,A
20174,03577044,72,0,1,420,D,07,D,200,D,,A,,A,,A,,A
20174,03577044,73,0,1,420,D,09,D,58,D,,A,,A,,A,,A
20174,03577094,42,0,1,420,D,08,D,36,D,,A,,A,,A,,A
20174,03577094,43,0,1,410,D,08,D,27,D,,A,,A,,A,,A
