QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOB,PROP0NOB,OWNYB,OWNYB_,OBSNSZB,OBSNSZB_,PROPTYPE,PROP_YPE,ACQUIRMO,ACQU_RMO,ACQUIRYR,ACQU_RYR,OWN_PURX,OWN__URX,OWNDPMTX,OWND_MTX,CLOSECST,CLOS_CST,QADPTAX,QADPTAX_,TIMESHAR,TIME_HAR,SHARWKS,SHARWKS_,SHARED1,SHARED1_,SHARPER1,SHAR_ER1,SHARED2,SHARED2_,SHARPER2,SHAR_ER2,GIFTPROP,GIFT_ROP,BSNEXP2,BSNEXP2_,DEEDED,DEEDED_
20171,03443623,16,0,5,01,D,100,D,,A,3,D,01,D,2016,D,,A,,A,,A,1100,F,,A,,A,,A,,A,1,D,1,D,,A,2,D,,A
20171,03443663,13,0,5,01,D,100,D,,A,3,D,,B,1973,D,,A,,A,,A,400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03443673,62,0,5,01,D,100,D,,A,3,D,,B,2014,D,,A,,A,,A,8000,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03443673,63,0,5,02,D,300,D,,A,3,D,,B,1998,D,,A,,A,,A,600,D,1,D,2,D,2,D,,A,,A,,A,,A,,A,1,D
20171,03443673,64,0,5,03,D,300,D,,A,3,D,,B,2002,D,,A,,A,,A,0,D,2,D,,A,,A,,A,2,D,,A,,A,,A,,A
20171,03443673,65,0,5,04,D,300,D,,A,3,D,10,D,2016,D,,A,,A,,A,1200,D,2,D,,A,,A,,A,1,D,1,D,1,D,,A,,A
20171,03443693,20,0,5,01,D,100,D,,A,3,D,,B,2010,D,,A,,A,,A,1200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03443703,14,0,5,01,D,100,D,,A,3,D,,B,,C,,A,,A,,A,4300,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03443713,12,0,5,01,D,100,D,,A,3,D,,B,2003,D,,A,,A,,A,3200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03443753,34,0,5,01,D,100,D,,A,3,D,,B,1977,D,,A,,A,,A,1000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03443823,17,0,5,01,D,100,D,,A,2,D,,B,2006,D,,A,,A,,A,2100,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03443893,25,0,5,01,D,100,D,,A,3,D,,B,2006,D,,A,,A,,A,1200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03443973,24,0,5,01,D,100,D,,A,3,D,,B,2005,D,,A,,A,,A,18759,T,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03443973,25,0,5,02,D,400,D,,A,3,D,,B,2008,D,,A,,A,,A,800,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20171,03443993,27,0,5,01,D,100,D,,A,3,D,,B,2002,D,,A,,A,,A,2000,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03444043,23,0,5,01,D,100,D,,A,3,D,,B,2014,D,,A,,A,,A,3500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03444063,14,0,5,01,D,100,D,,A,3,D,,B,1984,D,,A,,A,,A,4000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03444143,18,0,5,01,D,100,D,,A,3,D,,B,1952,D,,A,,A,,A,2600,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03444183,15,0,5,01,D,100,D,,A,3,D,,B,2004,D,,A,,A,,A,1000,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
