QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOF,PROP0NOF,OWNYF,OWNYF_,NEWMRRT,NEWMRRT_,ORGMRTX,ORGMRTX_,QMRTTERM,QMRT_ERM,MRTPMTX,MRTPMTX_,PAYPROTX,PAYP_OTX,PAYPROIN,PAYP_OIN,PAYMORIN,PAYM_RIN,PAYOTHER,PAYO_HER,QESCROWX,QESC_OWX,QPRINM1X,QPRI_M1X,QPRINM2X,QPRI_M2X,QPRINM3X,QPRI_M3X,QADINT1X,QADI_T1X,QADINT2X,QADI_T2X,QADINT3X,QADI_T3X,QRFINDAT,QRFI_DAT,FRSTPYMO,FRST_YMO,FRSTPYYR,FRST_YYR,FIXEDRTE,FIXE_RTE,QNEWDATE,QNEW_ATE,QBLNCM1X,QBLN_M1X,QBLNCM2X,QBLN_M2X,QBLNCM3X,QBLN_M3X,LOAN_NOF,LOAN0NOF,VARRTE,VARRTE_,INTONLY,INTONLY_,OTHRTE,OTHRTE_,PAYMT1X,PAYMT1X_,PAYMT2X,PAYMT2X_,PAYMT3X,PAYMT3X_,PAYPRINI,PAYP_INI,PAYINT,PAYINT_,REFI,REFI_
20173,03665832,37,0,5,01,D,100,D,.0784,F,209000,F,30,F,1774,F,3,F,4,F,,A,,A,264,F,268,F,270,F,272,F,1242,F,1240,F,1238,F,,A,06,F,2009,F,1,F,,A,190054,F,189786,F,189516,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20173,03665852,9,0,5,01,D,100,D,.0450,F,300000,F,30,F,1652,F,3,F,4,F,,A,,A,132,F,423,F,424,F,426,F,1097,F,1096,F,1094,F,,A,12,F,2015,F,1,F,,A,292659,F,292236,F,291812,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20173,03665892,20,0,5,01,D,100,D,.0784,F,278941,F,15,F,3000,F,3,F,4,F,,A,,A,360,F,823,F,828,F,834,F,1817,F,1812,F,1806,F,,A,03,F,2017,F,1,F,,A,278123,F,277300,F,276472,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20173,03665962,10,0,5,01,D,100,D,.0784,D,38055,D,30,D,328,D,3,D,4,D,,A,,A,53,D,30,D,30,D,31,D,245,D,245,D,244,D,,A,09,D,2015,D,1,D,,A,37463,D,37433,D,37403,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20173,03665982,24,0,5,01,D,100,D,.0400,D,120000,D,30,D,1600,D,3,D,,A,,A,,A,1027,D,396,D,398,D,399,D,177,D,175,D,174,D,,A,09,D,1996,D,1,D,,A,53041,D,52645,D,52247,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20173,03666072,36,0,5,01,D,100,D,.0784,D,117282,D,15,D,1400,D,3,D,4,D,,A,,A,290,D,502,D,505,D,508,D,608,D,605,D,602,D,,A,08,D,2012,D,1,D,,A,93135,D,92634,D,92129,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20173,03666152,29,0,5,01,D,100,D,.0784,D,54000,D,30,D,499,D,3,D,,A,,A,,A,109,D,150,D,151,D,152,D,240,D,239,D,238,D,,A,08,D,1999,D,1,D,,A,36752,D,36602,D,36451,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20173,03666322,32,0,5,01,D,100,D,.0784,D,35000,D,10,D,694,D,3,D,4,D,,A,,A,272,D,213,D,215,D,216,D,209,D,207,D,206,D,,A,03,D,2016,D,1,D,,A,31964,D,31750,D,31536,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20173,03666332,15,0,1,01,D,100,D,.0425,D,395000,D,30,D,2197,D,3,D,4,D,,A,,A,254,D,,A,544,D,546,D,,A,1399,D,1397,D,,A,07,D,2017,D,1,D,,A,,A,395000,D,394456,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20173,03666362,15,0,5,01,D,100,D,.0450,F,185000,F,30,F,1500,F,3,F,4,F,5,F,,A,563,F,565,F,567,F,569,F,372,F,370,F,368,F,,A,09,F,1998,F,1,F,,A,99285,F,98720,F,98153,F,01,D,,C,,C,,C,,A,,A,,A,1,D,2,D,1,D
20173,03666482,20,0,5,01,D,100,D,.0784,D,52000,D,30,D,547,D,,B,,B,,B,,B,171,D,136,D,137,D,138,D,240,D,239,D,238,D,,A,07,D,2000,D,1,D,,A,36731,D,36595,D,36458,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20173,03666552,25,0,1,01,D,100,D,.0425,D,615472,T,30,D,3800,D,3,D,4,D,,A,,A,1193,D,,A,730,D,733,D,,A,1877,D,1874,D,,A,07,D,2017,D,1,D,,A,,A,561906,T,560433,T,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20173,03666612,10,0,5,01,D,100,D,.0784,D,85000,D,30,D,637,D,,A,4,D,,A,,A,23,D,332,D,334,D,336,D,282,D,280,D,278,D,,A,04,D,1995,D,1,D,,A,43217,D,42885,D,42551,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20173,03666622,20,0,1,01,D,100,D,.0400,D,170000,D,30,D,1392,D,3,D,4,D,,A,,A,580,D,316,D,317,D,318,D,496,D,495,D,494,D,,A,02,D,2011,D,1,D,,A,148820,D,148504,D,148187,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20173,03666634,34,0,5,01,D,100,D,.0450,D,59208,D,30,D,1600,D,3,D,4,D,,A,,A,1300,D,82,D,82,D,83,D,218,D,218,D,217,D,,A,04,D,2016,D,1,D,,A,58089,D,58007,D,57925,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20173,03666692,40,0,5,01,D,100,D,.0784,D,67939,D,15,D,643,D,,A,,A,,A,,A,0,D,291,D,292,D,294,D,352,D,351,D,349,D,,A,08,D,2012,D,1,D,,A,53951,D,53661,D,53368,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
