,true_mean,oracle_mean,naive_mean,pi_naive_mean,lin_imp_mean,nn_imp_mean,nn_pi_imp_mean,nn_resamp_imp_mean,nn_wmse_imp_mean
392,0,21.5101776,26.15912547,26.06486706,26.12711758,26.1785062,26.13574969,0,0
393,0,21.52571978,26.15039345,26.07023916,26.08338678,26.08459837,21.56617166,0,0
394,0,21.55144966,26.21359023,26.13347824,26.14855627,26.15761074,23.30208499,0,0
395,0,21.43735733,26.21700919,26.11701733,26.01140087,23.53885484,25.9615593,0,0
396,0,21.63014293,26.1538556,26.07783572,26.19396307,26.21500892,26.22148112,0,0
397,0,21.63572427,26.19030357,26.09142531,26.2205461,23.97497503,25.70370314,0,0
398,0,21.51080607,26.14763124,26.06591531,26.10904806,26.14099388,25.24073869,0,0
399,0,21.62094157,26.18847812,26.09194318,26.19103477,22.66746299,25.59793029,0,0
400,0,21.55281981,26.20666504,26.10123738,26.14703882,26.07832706,25.12129929,0,0
401,0,21.62004794,26.16453196,26.07261482,26.13202984,26.20493791,26.09947422,0,0
402,0,21.6601882,26.21713379,26.11824997,26.20577883,26.19363862,21.43414841,0,0
403,0,21.48935237,26.14784847,26.06510436,26.11981171,26.16511132,24.08026933,0,0
404,0,21.51433802,26.19165874,26.09042537,26.06079071,23.26967955,26.10319225,0,0
405,0,21.48671669,26.1524008,26.06370794,26.09199806,26.12924662,26.02802678,0,0
406,0,21.5402104,26.15218187,26.07018957,26.11603443,22.67505014,26.11025449,0,0
407,0,21.58926321,26.16871465,26.06833383,26.17461517,26.12669957,21.62989582,0,0
408,0,21.57811578,26.17356669,26.09258734,26.14733939,26.130183,26.21088622,0,0
409,0,21.61558426,26.16072902,26.0703055,26.18573472,21.65604052,26.19878957,0,0
410,0,21.46801841,26.17274,26.09412363,26.06687632,25.93160489,26.00652059,0,0
411,0,21.43896411,26.16767732,26.0792305,26.04450165,26.06447666,25.83798032,0,0
412,0,21.54637105,26.17084902,26.07662145,26.1225721,22.96211303,21.58705951,0,0
413,0,21.61772116,26.17926949,26.09113349,26.21305411,26.08719365,25.00230083,0,0
414,0,21.64156614,26.23033636,26.13703185,26.17356661,26.25762111,26.2019657,0,0
415,0,21.56107203,26.19594026,26.10644266,26.14067513,21.60063563,26.1341773,0,0
416,0,21.51541062,26.1393147,26.04623601,26.05988705,22.20504367,21.36094644,0,0
417,0,21.55543387,26.26540496,26.17603126,26.18421584,21.59595691,26.2456021,0,0
418,0,21.49962822,26.14035476,26.05765274,26.08028628,26.02433905,24.56727727,0,0
419,0,21.4660211,26.17130111,26.09114312,26.05141198,25.99912743,24.92612509,0,0
420,0,21.66543784,26.12859024,26.04595936,26.27075625,22.75357971,26.24658035,0,0
