"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX"
"20152","02970013",17,0,"1",.,"A"
"20152","02970023",45,0,"1",0,"D"
"20152","02970033",46,0,"1",.,"A"
"20152","02970053",59,0,"1",40,"D"
"20152","02970103",27,0,"1",.,"A"
"20152","02970123",17,0,"1",.,"A"
"20152","02970143",24,0,"1",.,"A"
"20152","02970153",44,0,"1",.,"A"
"20152","02970173",16,0,"1",.,"A"
"20152","02970193",16,0,"1",.,"A"
"20152","02970243",26,0,"1",.,"A"
"20152","02970253",30,0,"1",.,"A"
"20152","02970293",15,0,"1",.,"A"
"20152","02970303",29,0,"1",.,"A"
"20152","02970323",52,0,"1",.,"A"
"20152","02970383",23,0,"1",.,"A"
"20152","02970393",17,0,"1",.,"A"
"20152","02970403",41,0,"1",.,"A"
"20152","02970423",53,0,"1",.,"A"
"20152","02970465",40,0,"1",.,"A"
"20152","02970473",68,0,"1",.,"A"
"20152","02970553",21,0,"1",.,"A"
"20152","02970573",12,0,"1",.,"A"
"20152","02970583",75,0,"1",.,"A"
"20152","02970603",26,0,"1",.,"A"
"20152","02970683",22,0,"1",.,"A"
"20152","02970713",67,0,"1",.,"A"
"20152","02970743",64,0,"1",.,"A"
"20152","02970753",39,0,"1",.,"A"
"20152","02970773",36,0,"1",.,"A"
"20152","02970783",38,0,"1",.,"A"
"20152","02970823",8,0,"1",.,"A"
"20152","02970863",28,0,"1",.,"A"
"20152","02970873",46,0,"1",.,"A"
"20152","02970895",14,0,"1",.,"A"
"20152","02970923",17,0,"1",.,"A"
"20152","02970963",16,0,"1",.,"A"
"20152","02970983",45,0,"1",.,"A"
"20152","02970993",10,0,"1",.,"A"
"20152","02971013",27,0,"1",.,"A"
"20152","02971043",23,0,"1",.,"A"
"20152","02971143",24,0,"1",.,"A"
"20152","02971153",41,0,"1",.,"A"
"20152","02971194",11,0,"1",.,"A"
"20152","02971213",24,0,"1",.,"A"
"20152","02971233",32,0,"1",.,"A"
"20152","02971273",20,0,"1",.,"A"
"20152","02971283",43,0,"1",.,"A"
"20152","02971313",42,0,"1",.,"A"
"20152","02971333",34,0,"1",.,"A"
"20152","02971343",9,0,"1",.,"A"
"20152","02971363",37,0,"1",.,"A"
"20152","02971373",15,0,"1",.,"A"
"20152","02971533",20,0,"1",.,"A"
"20152","02971543",14,0,"1",.,"A"
"20152","02971563",48,0,"1",.,"A"
"20152","02971593",52,0,"1",.,"A"
"20152","02971653",30,0,"1",.,"A"
"20152","02971693",35,0,"1",125,"D"
"20152","02971723",45,0,"1",.,"A"
"20152","02971753",27,0,"1",.,"A"
"20152","02971793",18,0,"1",.,"A"
"20152","02971813",18,0,"1",.,"A"
"20152","02971863",41,0,"1",.,"A"
"20152","02971884",15,0,"1",.,"A"
"20152","02971953",8,0,"1",.,"A"
"20152","02971993",17,0,"1",.,"A"
"20152","02972003",46,0,"1",.,"A"
"20152","02972013",23,0,"1",.,"A"
"20152","02972043",16,0,"1",.,"A"
"20152","02972073",32,0,"1",.,"A"
"20152","02972103",12,0,"1",.,"A"
"20152","02972123",25,0,"1",.,"A"
"20152","02972133",38,0,"1",.,"A"
"20152","02972163",61,0,"1",.,"A"
"20152","02972213",13,0,"1",.,"A"
"20152","02972265",19,0,"1",.,"A"
"20152","02972273",31,0,"1",.,"A"
"20152","02972283",32,0,"1",.,"A"
"20152","02972293",21,0,"1",.,"A"
"20152","02972323",16,0,"1",.,"A"
"20152","02972333",23,0,"1",.,"A"
"20152","02972363",34,0,"1",.,"A"
