"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOG","PROP0NOG","OWNYG","OWNYG_","NEWMRTG","NEWMRTG_","ORGMRTG","ORGMRTG_","QMRTTRMG","QMRT_RMG","MRTPMTG","MRTPMTG_","PAYPRTXG","PAYP_TXG","PAYPRING","PAYP_ING","PAYMRING","PAYM_ING","PAYOTHRG","PAYO_HRG","QESCROWG","QESC_OWG","QPRINM1G","QPRI_M1G","QPRINM2G","QPRI_M2G","QPRINM3G","QPRI_M3G","QADINT1G","QADI_T1G","QADINT2G","QADI_T2G","QADINT3G","QADI_T3G","QRFINDTG","QRFI_DTG","FRSTPYMG","FRST_YMG","FRSTPYRG","FRST_YRG","FIXDRTEG","FIXD_TEG","QNEWDATG","QNEW_ATG","QBLNCM1G","QBLN_M1G","QBLNCM2G","QBLN_M2G","QBLNCM3G","QBLN_M3G","LOAN_NOG","LOAN0NOG","VARRTEG","VARRTEG_","INTONLYG","INTO_LYG","OTHRTEG","OTHRTEG_","PAYMT1G","PAYMT1G_","PAYMT2G","PAYMT2G_","PAYMT3G","PAYMT3G_","PAYPRNPG","PAYP_NPG","PAYINTG","PAYINTG_"
"20161","03192523",15,0,"5","01","D","100","D",0.04,"F",37700,"F",20,"F",228,"F",,"A",,"A",,"A",,"A",0,"F",99,"F",100,"F",100,"F",29,"F",28,"F",28,"F",,"A","02","F","2002","F","2","F",,"A",15315,"F",15138,"F",14960,"F","01","D","1","D",,"A",,"A",128,"F",128,"F",128,"F","1","D","2","D"
"20161","03192693",26,0,"5","01","D","100","D",0.06,"D",45000,"D",10,"D",500,"D",,"A",,"A",,"A",,"A",0,"D",310,"D",312,"D",313,"D",190,"D",188,"D",187,"D",,"A","10","D","2013","D","1","D",,"A",38006,"D",37696,"D",37385,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03192883",42,0,"5","01","D","100","D",0.0859,"D",34047,"D",5,"D",700,"D",,"A",,"A",,"A",,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A","09","D","2007","D","1","D",,"A",.,"A",.,"A",.,"A","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03194103",40,0,"5","01","D","100","D",0.0775,"D",41008,"D",15,"D",386,"D",,"A",,"A",,"A",,"A",0,"D",249,"D",251,"D",252,"D",137,"D",135,"D",134,"D",,"A","06","D","2006","D","1","D",,"A",21188,"D",20939,"D",20688,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03207053",21,0,"5","01","D","100","D",0.0859,"F",50000,"F",20,"F",437,"F",,"A",,"A",,"A",,"A",0,"F",0,"F",0,"F",0,"F",0,"F",0,"F",0,"F",,"A","06","F","2004","F","2","F",,"A",31957,"F",31749,"F",31539,"F","01","D",,"A",,"A",,"A",0,"F",0,"F",0,"F","1","D","2","D"
"20161","03207803",16,0,"1","01","D","100","D",0.0859,"F",104445,"F",10,"F",1300,"F","3","F","4","F","5","F",,"A",0,"F",1111,"F",1119,"F",1127,"F",189,"F",181,"F",173,"F",,"A","10","F","2007","F","1","F",,"A",26375,"F",25264,"F",24144,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03208243",39,0,"5","01","D","100","D",0.0859,"D",39999,"D",15,"D",396,"D",,"A",,"A",,"A",,"A",0,"D",178,"D",179,"D",181,"D",218,"D",217,"D",215,"D",,"A","03","D","2010","D","1","D",,"A",30435,"D",30257,"D",30078,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03209853",31,0,"5","01","D","100","D",0.04,"D",72775,"D",20,"D",441,"D",,"A",,"A",,"A",,"A",0,"D",198,"D",199,"D",200,"D",243,"D",242,"D",241,"D",,"A","11","D","2015","D","1","D","112015","D",72775,"D",72577,"D",72378,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03212173",21,0,"5","01","D","100","D",0.126,"D",52460,"D",15,"D",650,"D",,"A",,"A",,"A",,"A",0,"D",244,"D",246,"D",249,"D",406,"D",404,"D",401,"D",,"A","09","D","2008","D","1","D",,"A",38714,"D",38471,"D",38224,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03213443",36,0,"5","01","D","100","D",0.0859,"D",45791,"D",20,"D",400,"D",,"A",,"A",,"A",,"A",0,"D",88,"D",88,"D",89,"D",312,"D",312,"D",311,"D",,"A","08","D","2013","D","1","D",,"A",43649,"D",43561,"D",43473,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03213803",23,0,"5","01","D","100","D",0.0859,"D",8990,"D",15,"D",89,"D",,"A",,"A",,"A",,"A",0,"D",45,"D",45,"D",45,"D",44,"D",44,"D",44,"D",,"A","12","D","2008","D","1","D",,"A",6209,"D",6165,"D",6120,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03215013",26,0,"5","01","D","100","D",0.0859,"D",43800,"D",10,"D",545,"D",,"A",,"A",,"A",,"A",0,"D",0,"D",0,"D",0,"D",75,"D",75,"D",75,"D",,"A","11","D","2015","D","2","D",,"A",43800,"D",43800,"D",43800,"D","01","D",,"A","2","D",,"A",75,"D",75,"D",75,"D",,"A","2","D"
