"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CONTCODE","CONT_ODE","CONTMO","CONTMO_","CONTEXPX","CONT_XPX"
"20151","02805515",5,0,"1","100","D","13","D",100,"D"
"20151","02805525",1,0,"2","170","D","12","D",225,"D"
"20151","02805545",6,0,"1","150","D","13","D",20,"D"
"20151","02805545",7,0,"2","150","D","12","D",5,"D"
"20151","02805555",6,0,"1","160","D","12","D",100,"D"
"20151","02805565",8,0,"1","150","D","12","D",960,"D"
"20151","02805565",9,0,"1","150","D","02","D",1100,"D"
"20151","02805635",10,0,"1","160","D","12","D",200,"D"
"20151","02805635",11,0,"2","160","D","12","D",200,"D"
"20151","02805745",10,0,"1","170","D","12","D",200,"D"
"20151","02805745",11,0,"1","150","D","13","D",1100,"D"
"20151","02805755",2,0,"1","150","D","13","D",80,"D"
"20151","02805755",3,0,"1","160","D","13","D",25,"D"
"20151","02805875",9,0,"1","150","D","13","D",1000,"D"
"20151","02805905",1,0,"1","150","D","13","D",20,"D"
"20151","02805985",1,0,"1","150","D","13","D",140,"D"
"20151","02806085",4,0,"1","150","D","13","D",80,"D"
"20151","02806125",9,0,"1","160","D","13","D",166,"D"
"20151","02806185",8,0,"1","170","D","12","D",150,"D"
"20151","02806195",6,0,"1","100","D","13","D",447,"F"
"20151","02806245",6,0,"1","150","D","13","D",80,"D"
"20151","02806355",11,0,"1","160","D","13","D",250,"D"
"20151","02806355",12,0,"2","130","D","12","D",20,"D"
"20151","02806435",3,0,"1","160","D","12","D",15,"D"
"20151","02806435",4,0,"1","160","D","01","D",15,"D"
"20151","02806815",5,0,"1","150","D","13","D",20,"D"
"20151","02806815",6,0,"1","160","D","13","D",10,"D"
"20151","02806815",7,0,"1","160","D","13","D",15,"D"
"20151","02806855",6,0,"2","170","D","12","D",350,"D"
"20151","02806925",4,0,"1","170","D","12","D",20,"D"
"20151","02807025",4,0,"1","160","D","13","D",500,"D"
"20151","02807125",6,0,"1","170","D","12","D",75,"D"
"20151","02807125",7,0,"1","150","D","13","D",300,"D"
"20151","02807125",8,0,"1","130","D","12","D",140,"D"
"20151","02807125",9,0,"1","160","D","12","D",23,"D"
"20151","02807155",1,0,"1","160","D","13","D",202,"F"
"20151","02807165",4,0,"1","100","D","13","D",200,"D"
"20151","02807265",1,0,"1","160","D","01","D",40,"D"
"20151","02807265",2,0,"1","160","D","02","D",40,"D"
"20151","02807305",3,0,"1","170","D","12","D",300,"D"
"20151","02807305",4,0,"1","170","D","01","D",60,"D"
"20151","02807305",5,0,"1","160","D","12","D",20,"D"
"20151","02807325",4,0,"1","150","D","13","D",700,"D"
"20151","02807405",2,0,"1","150","D","13","D",40,"D"
"20151","02807475",3,0,"1","160","D","12","D",500,"D"
"20151","02807605",8,0,"1","170","D","12","D",300,"D"
"20151","02807605",9,0,"1","160","D","12","D",200,"D"
"20151","02807615",3,0,"1","160","D","13","D",100,"D"
"20151","02807645",3,0,"2","170","D","12","D",220,"D"
"20151","02807665",12,0,"1","170","D","12","D",100,"D"
"20151","02807665",13,0,"1","160","D","02","D",25,"D"
"20151","02807805",2,0,"1","150","D","13","D",10,"D"
"20151","02807815",12,0,"1","170","D","01","D",50,"D"
"20151","02807815",13,0,"1","170","D","01","D",200,"D"
"20151","02807815",14,0,"1","150","D","13","D",1200,"D"
"20151","02807815",15,0,"1","160","D","13","D",10,"D"
"20151","02807905",5,0,"1","170","D","02","D",110,"D"
"20151","02807915",15,0,"1","170","D","13","D",250,"D"
"20151","02807915",16,0,"2","170","D","12","D",20,"D"
"20151","02807935",3,0,"1","100","D","13","D",400,"D"
"20151","02807935",4,0,"1","160","D","13","D",20,"D"
"20151","02807935",5,0,"1","130","D","12","D",150,"D"
"20151","02807935",6,0,"1","160","D","12","D",375,"D"
"20151","02807935",7,0,"2","100","D","12","D",400,"D"
"20151","02807955",4,0,"1","170","D","12","D",800,"D"
"20151","02807955",5,0,"1","160","D","13","D",30,"D"
