"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20152","03069302",70,0,"1","430","D","03","D",.,"H","405","D","415","D",,"A",,"A"
"20152","03069302",70,1,"1","405","D","03","D",49,"E",,"A",,"A",,"A",,"A"
"20152","03069302",70,2,"1","420","D","03","D",16,"E",,"A",,"A",,"A",,"A"
"20152","03069603",31,0,"1","410","D","04","D",26,"D",,"A",,"A",,"A",,"A"
"20152","03069613",77,0,"1","420","D","05","D",88,"D",,"A",,"A",,"A",,"A"
"20152","03069652",45,0,"1","420","D","04","D",117,"D",,"A",,"A",,"A",,"A"
"20152","03069652",46,0,"1","405","D","04","D",315,"D",,"A",,"A",,"A",,"A"
"20152","03069714",31,0,"1","410","D","03","D",30,"D",,"A",,"A",,"A",,"A"
"20152","03069714",32,0,"1","420","D","03","D",30,"D",,"A",,"A",,"A",,"A"
"20152","03069714",33,0,"1","405","D","03","D",90,"D",,"A",,"A",,"A",,"A"
"20152","03069783",45,0,"1","420","D","04","D",175,"D",,"A",,"A",,"A",,"A"
"20152","03069834",44,0,"1","410","D","05","D",41,"D",,"A",,"A",,"A",,"A"
"20152","03069834",45,0,"1","420","D","05","D",33,"D",,"A",,"A",,"A",,"A"
"20152","03069834",46,0,"1","405","D","05","D",140,"D",,"A",,"A",,"A",,"A"
"20152","03069864",35,0,"1","410","D","04","D",23,"D",,"A",,"A",,"A",,"A"
"20152","03069864",36,0,"1","420","D","04","D",62,"D",,"A",,"A",,"A",,"A"
"20152","03069993",44,0,"1","420","D","05","D",75,"D",,"A",,"A",,"A",,"A"
"20152","03070332",58,0,"1","420","D","05","D",49,"D",,"A",,"A",,"A",,"A"
"20152","03070463",34,0,"1","420","D","05","D",64,"D",,"A",,"A",,"A",,"A"
