"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","S17CODEA","S17C_DEA","S17GFTCA","S17G_TCA","SUBEXPX","SUBEXPX_","SUBMO","SUBMO_"
"20151","02800065",42,0,"1","510","D","1","D",10,"D","12","D"
"20151","02800065",43,0,"1","510","D","1","D",10,"D","01","D"
"20151","02800065",44,0,"1","350","D","1","D",10,"D","13","D"
"20151","02800065",45,0,"2","500","D","1","D",25,"D","11","D"
"20151","02800125",33,0,"1","510","D","1","D",16,"D","11","D"
"20151","02800125",34,0,"1","510","D","1","D",16,"D","12","D"
"20151","02800125",35,0,"1","510","D","1","D",32,"D","01","D"
"20151","02800125",36,0,"1","340","D","1","D",15,"D","12","D"
"20151","02800125",37,0,"1","350","D","1","D",8,"D","13","D"
"20151","02800125",38,0,"2","210","D","2","D",15,"D","11","D"
"20151","02800125",39,0,"2","510","D","1","D",12,"D","11","D"
"20151","02800125",40,0,"2","350","D","1","D",3,"D","11","D"
"20151","02800145",37,0,"1","840","D","1","D",40,"D","01","D"
"20151","02800145",38,0,"1","510","D","1","D",20,"D","01","D"
"20151","02800175",78,0,"2","150","D","1","D",51,"D","11","D"
"20151","02800185",18,0,"1","360","D","1","D",8,"D","13","D"
"20151","02800185",19,0,"1","370","D","1","D",120,"D","01","D"
"20151","02800185",20,0,"2","370","D","1","D",300,"D","11","D"
"20151","02800265",52,0,"1","510","D","1","D",40,"D","01","D"
"20151","02800265",53,0,"1","210","D","1","D",10,"D","12","D"
"20151","02800265",54,0,"1","210","D","2","D",75,"D","12","D"
"20151","02800265",55,0,"1","300","D","1","D",25,"D","12","D"
"20151","02800265",56,0,"1","320","D","1","D",50,"D","11","D"
"20151","02800265",57,0,"1","320","D","1","D",50,"D","12","D"
"20151","02800265",58,0,"1","320","D","1","D",50,"D","01","D"
"20151","02800265",59,0,"1","340","D","1","D",20,"D","12","D"
"20151","02800335",42,0,"1","150","D","1","D",40,"D","12","D"
"20151","02800335",43,0,"1","150","D","1","D",40,"D","11","D"
