"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","RENTCODE","RENT_ODE","BSNSPCTZ","BSNS_CTZ","QADRENTX","QADR_NTX","ANYVACAT","ANYV_CAT"
"20152","03104871",17,0,"1","105","D",.,"A",120,"D","1","D"
"20152","03105031",31,0,"1","105","D",.,"A",100,"D","1","D"
"20152","03105371",24,0,"1","105","D",.,"A",125,"D","2","D"
"20152","03105523",15,0,"1","105","D",.,"A",300,"D","1","D"
"20152","03106071",50,0,"1","105","D",.,"A",350,"D","1","D"
"20152","03106542",47,0,"1","105","D",.,"A",800,"D","1","D"
"20152","03106591",20,0,"1","105","D",.,"A",86,"D","1","D"
"20152","03107451",22,0,"1","105","D",1,"D",0,"D","2","D"
"20152","03107703",5,0,"1","150","D",.,"A",1,"D","1","D"
"20152","03109411",24,0,"1","105","D",.,"A",540,"D","1","D"
"20152","03110513",23,0,"1","160","D",.,"A",36,"D","1","D"
"20152","03142601",28,0,"1","105","D",.,"A",332,"F","2","D"
"20152","03143161",29,0,"1","105","D",.,"A",56,"D","1","D"
"20152","03143261",28,0,"1","105","D",.,"A",600,"D","1","D"
"20152","03144121",18,0,"1","160","D",.,"A",365,"D","1","D"
"20152","03144961",14,0,"1","105","D",.,"A",230,"D","1","D"
"20152","03145041",29,0,"1","105","D",.,"A",100,"D","2","D"
"20152","03145061",15,0,"1","105","D",.,"A",149,"D","1","D"
"20152","03146401",7,0,"1","105","D",.,"A",200,"D","2","D"
"20152","03146751",42,0,"1","120","D",.,"A",1200,"D","1","D"
"20152","03147271",51,0,"1","105","D",.,"A",24,"D","1","D"
"20152","03147271",52,0,"1","200","D",.,"A",40,"D","1","D"
"20152","03147271",53,0,"1","200","D",.,"A",95,"D","1","D"
"20152","03147271",54,0,"1","170","D",.,"A",94,"D","1","D"
"20152","03148791",25,0,"1","105","D",.,"A",139,"D","1","D"
"20152","03149211",33,0,"1","105","D",.,"A",1110,"D","1","D"
"20152","03149401",30,0,"1","105","D",0.8,"D",30,"D","1","D"
"20152","03150011",24,0,"1","105","D",.,"A",300,"D","1","D"
"20152","03151365",17,0,"1","105","D",.,"A",40,"D","2","D"
"20152","03151401",19,0,"1","105","D",.,"A",275,"D","1","D"
"20152","03151841",18,0,"1","105","D",.,"A",700,"D","1","D"
"20152","03151841",19,0,"1","105","D",.,"A",35,"D","2","D"
"20152","03152071",25,0,"1","105","D",.,"A",300,"D","1","D"
